DATE,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI (avg. of past 24hrs) 
3-Oct,208,200,91,8,21,52,56,189
4-Oct,188,205,95,8,23,58,83,184
5-Oct,177,203,92,8,21,47,63,179
6-Oct,174,208,97,8,22,48,59,178
7-Oct,201,218,99,8,19,55,61,215
8-Oct,179,195,93,8,23,54,77,208
9-Oct,184,189,93,9,18,60,87,202
10-Oct,214,202,93,10,22,61,89,221
11-Oct,214,196,89,10,21,56,78,216
12-Oct,239,224,96,10,23,66,96,261
13-Oct,289,283,103,12,22,75,85,300
14-Oct,273,230,94,13,20,69,89,276
15-Oct,305,293,96,13,23,65,59,312
16-Oct,223,203,89,8,21,54,73,239
17-Oct,284,267,102,10,22,61,74,287
18-Oct,262,236,96,12,17,52,62,254
19-Oct,245,231,90,11,19,57,75,244
20-Oct,213,209,97,9,19,60,65,223
21-Oct,241,252,100,11,17,54,73,256
22-Oct,289,305,115,12,26,78,104,296
23-Oct,357,324,116,15,21,79,102,366
24-Oct,337,328,122,16,22,72,88,345
25-Oct,319,303,120,15,20,86,85,349
26-Oct,347,327,121,15,23,76,90,353
27-Oct,306,277,100,11,17,62,50,312
28-Oct,284,270,110,10,18,69,105,297
29-Oct,390,386,129,15,23,76,90,395
30-Oct,373,362,129,15,20,66,56,374
31-Oct,352,362,103,11,17,65,56,367
1-Nov,355,346,101,11,20,58,53,364
2-Nov,274,249,107,10,18,54,55,293
3-Nov,292,279,120,13,19,72,42,302
4-Nov,318,323,118,14,21,78,27,343
5-Nov,444,435,130,15,19,64,70,450
6-Nov,392,392,122,16,21,68,50,406
7-Nov,415,416,129,16,20,69,86,427
8-Nov,393,395,138,16,26,78,81,416
9-Nov,455,469,144,19,24,97,68,477
10-Nov,435,300,146,23,19,102,88,476
11-Nov,343,307,106,18,20,76,67,344
12-Nov,308,312,116,14,22,83,82,314
13-Nov,347,344,128,14,19,84,87,339
14-Nov,406,400,120,14,18,97,104,414
15-Nov,422,316,119,15,28,82,71,435
16-Nov,220,145,76,11,22,62,35,221
17-Nov,186,133,86,10,13,69,26,171
18-Nov,222,154,92,10,11,74,54,211
19-Nov,297,227,109,9,15,78,75,283
20-Nov,306,239,107,9,16,72,54,296
21-Nov,263,206,95,9,14,67,41,251
22-Nov,277,219,99,8,15,60,59,274
